--------------------------------------------------------------------------------------------------------
| Назва      | Ціна  | Вага  | Сорт мяса  | Вид мяса        | Термін придатності | Дата помилки        |
--------------------------------------------------------------------------------------------------------
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 09.06.2022 23:17:08 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 09.06.2022 23:17:08 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 09.06.2022 23:17:08 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 09.06.2022 23:17:08 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 09.06.2022 23:17:08 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 14:27:11 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 14:27:11 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 14:27:11 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 14:27:11 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 14:27:11 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 14:29:23 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 14:29:23 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 14:29:23 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 14:29:23 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 14:29:23 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 14:58:20 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 14:58:20 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 14:58:20 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 14:58:20 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 14:58:20 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 15:13:15 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 15:13:15 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 15:13:15 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 15:13:15 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 15:13:15 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 17:30:21 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 17:30:21 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 17:30:21 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 17:30:21 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 17:30:21 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 17:30:42 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 17:30:42 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 17:30:42 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 17:30:42 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 17:30:42 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 17:30:49 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 17:30:49 |
